"","Última Execução","Álbum Artista","Album","Artista","Título","Ano","classificação","Gênero","Compositor","Agrupar","Faixa #","Nota","BPM","Duração","Bit rate","ReplayGain","","Data Adicionada","LOCALIZAÇÃO","Comentário","Color"
"1","2025-07-30T22:13:45.000","","","Foli Griô Orquestra","Alegria da Cidade - Foli Griô + Lazzo Matumbi (ao vivo)","2023","0","","","","","1B","114.0000","7:06","320","-6.66369 dB","mp3","2025-07-30T21:50:21.402","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Alegria da Cidade - Foli Griô + Lazzo Matumbi (ao vivo).mp3","https://www.youtube.com/watch?v=k3IdStvzl1U",""
"1","2025-08-03T15:19:14.000","","Cara de Apaixonado","Scro Que Cuia","Cara de Apaixonado","2018","0","","","","1","4A","127.0000","3:56","320","-7.85875 dB","mp3","2025-08-03T15:18:49.970","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Cara de Apaixonado - Scro Que Cuia.mp3","",""
"0","","","BACaRDi Fest EP","DJ Dadaman/Mellow & Sleazy/Uncle Waffles/DJ Maphorisa/Uncool MC/Ricky Lenyora/Gipa Entertainment","Ke Nakwela (feat. Dj Maphorisa, Uncool MC, Ricky Lenyora & Gipa Entertainment)","2024","0","","","","","1A","149.3333","7:23","320","-8.67264 dB","mp3","2025-08-03T15:20:45.262","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ke Nakwela (feat. Dj Maphorisa, Uncool MC, Ricky Lenyora & Gipa Entertainment).mp3","",""
"1","2025-08-03T16:09:11.000","","4 Kampé II","Joé Dwèt Filé","4 Kampé II","2025","0","","","","","1A","92.0000","3:31","320","-7.1261 dB","mp3","2025-08-03T16:08:04.492","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/ 4 Kampé II - Joé Dwèt Filé.mp3","SpotiDown.App (Spotify Music Downloader)",""
"0","","","TaTaTa (feat. Travis Scott)","Burna Boy/Travis Scott","TaTaTa (feat. Travis Scott)","2025","0","","","","1","3A","124.0000","2:30","320","-5.27895 dB","mp3","2025-08-03T17:03:29.902","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/TaTaTa (feat. Travis Scott) - Burna Boy.mp3","",""
"0","","","Talk That Talk","Rihanna/Calvin Harris","We Found Love","2011","0","","","","","2B","128.0000","3:35","320","-10.2933 dB","mp3","2025-08-03T17:03:29.925","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/We Found Love.mp3","",""
"0","","","Ijo Fuji","Adewale Ayuba","Ijo Fuji D","2013","0","","","","","11B","96.6667","6:01","320","-10.0746 dB","mp3","2025-08-03T17:03:29.947","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ijo Fuji D.mp3","",""
"1","2025-08-24T13:13:31.000","","Premier Gaou (Nitefreak Remix)","Francis Mercier/Magic System/Nitefreak","Premier Gaou - Nitefreak Remix","2021","0","","","","","6B","122.0000","3:42","320","-9.61143 dB","mp3","2025-08-03T17:03:29.961","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Premier Gaou - Nitefreak Remix.mp3","",""
"1","2025-08-24T13:43:23.000","","Original Nuttah 25","Uk Apache/SHY FX","Original Nuttah 25","2019","0","","","","","2B","113.3333","3:51","320","-9.64433 dB","mp3","2025-08-03T17:03:29.974","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Original Nuttah 25.mp3","",""
"0","","","Ijo Fuji","Adewale Ayuba","Ijo Fuji B","2013","0","","","","","11B","124.0916","10:56","320","-10.4316 dB","mp3","2025-08-03T17:03:30.003","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ijo Fuji B.mp3","",""
"0","","","Original Nuttah 25","Uk Apache/SHY FX/IRAH/Chase & Status","Original Nuttah 25 (feat. IRAH) - Chase & Status Remix","2019","0","","","","","3A","87.0000","3:43","320","-9.18502 dB","mp3","2025-08-03T17:03:30.030","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Original Nuttah 25 (feat. IRAH) - Chase & Status Remix.mp3","",""
"0","","","Ijo Fuji","Adewale Ayuba","Ijo Fuji C","2013","0","","","","","4B","134.1435","15:10","320","-10.3405 dB","mp3","2025-08-03T17:03:30.045","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ijo Fuji C.mp3","",""
"0","","","Ijo Fuji","Adewale Ayuba","Ijo Fuji A","2013","0","","","","","11B","149.5000","23:08","320","-9.32583 dB","mp3","2025-08-03T17:03:30.059","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ijo Fuji A.mp3","",""
"1","2025-08-24T13:12:23.000","","1er Gaou","Magic System","1er Gaou","2003","0","","","","","6B","119.0000","4:55","320","-1.4539 dB","mp3","2025-08-03T17:03:30.072","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/1er Gaou.mp3","",""
"0","","","Canada (Remix)","Magnito/Olamide/Wizzy Flon","Canada - Remix","2023","0","","","","","3A","112.0000","2:51","320","-9.99393 dB","mp3","2025-08-03T17:03:30.100","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Canada - Remix.mp3","",""
"0","","","Money Heist","Tyler ICU/Nicole Elocin/Kabza De Small/DJ Maphorisa","Bella Ciao","2020","0","","","","","9A","112.0000","5:42","320","-5.02427 dB","mp3","2025-08-03T17:03:30.156","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Bella Ciao.mp3","",""
"1","2025-08-24T13:50:41.000","","Canada","Magnito","Canada","2023","0","","","","","3A","112.0000","2:49","320","-9.2155 dB","mp3","2025-08-03T17:03:30.183","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Canada.mp3","",""
